symbol;probability;information
<ARP, 10.2.201.222>;0.000218541020149;12.1598082805
<ARP, 10.2.201.141>;0.000437082040299;11.1598082805
<ARP, 10.2.203.34>;0.0013112461209;9.57484577983
<ARP, 10.2.202.137>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.117>;8.74164080598e-05;13.4817363754
<ARP, 10.2.2.1>;0.00187945277329;9.05547162073
<ARP, 10.2.201.232>;0.000393373836269;11.311811374
<ARP, 10.2.201.208>;0.000305957428209;11.6743814534
<ARP, 10.2.201.212>;0.000874164080598;10.1598082805
<ARP, 10.2.5.20>;0.000437082040299;11.1598082805
<ARP, 169.254.150.147>;0.000305957428209;11.6743814534
<ARP, 10.2.3.8>;0.00196686918135;8.9898832791
<ARP, 10.2.202.237>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.161>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.44>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.32>;0.000262249224179;11.8967738747
<ARP, 10.2.7.8>;0.000655623060448;10.5748457798
<ARP, 10.2.5.12>;0.00201057738538;8.95817441938
<ARP, 10.2.0.198>;0.0222474758512;5.49021452936
<ARP, 10.2.203.15>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.166>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.146>;0.000568206652389;10.7812966573
<ARP, 10.2.200.230>;4.37082040299e-05;14.4817363754
<ARP, 10.2.6.1>;0.00201057738538;8.95817441938
<ARP, 10.2.200.89>;0.000655623060448;10.5748457798
<ARP, 10.2.201.190>;0.000437082040299;11.1598082805
<ARP, 10.2.200.241>;8.74164080598e-05;13.4817363754
<ARP, 10.2.200.188>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.143>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.158>;0.00144237073299;9.43734225608
<ARP, 10.2.202.189>;0.00017483281612;12.4817363754
<ARP, 10.2.203.254>;0.275317977184;1.86082927955
<ARP, 10.2.201.30>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.168>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.134>;0.00179203636523;9.12418437082
<ARP, 10.2.203.158>;0.000480790244329;11.0223047568
<ARP, 10.2.5.19>;0.000349665632239;11.4817363754
<ARP, 10.2.6.13>;0.000830455876568;10.233808862
<ARP, 10.2.200.217>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.64>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.161>;0.000349665632239;11.4817363754
<ARP, 10.2.200.49>;0.00013112461209;12.8967738747
<ARP, 10.2.7.18>;0.0017483281612;9.15980828055
<ARP, 10.2.1.254>;0.00196686918135;8.9898832791
<ARP, 10.2.1.10>;0.0013112461209;9.57484577983
<ARP, 10.2.200.223>;4.37082040299e-05;14.4817363754
<ARP, 10.2.7.249>;8.74164080598e-05;13.4817363754
<ARP, 10.2.2.13>;0.00161720354911;9.27228300981
<ARP, 10.2.4.1>;0.00179203636523;9.12418437082
<ARP, 10.2.6.6>;0.00205428558941;8.92714752376
<ARP, 169.254.251.161>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.191>;8.74164080598e-05;13.4817363754
<ARP, 192.168.43.31>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.197>;4.37082040299e-05;14.4817363754
<ARP, 10.2.3.6>;0.0017483281612;9.15980828055
<ARP, 10.2.200.154>;0.000349665632239;11.4817363754
<ARP, 169.254.189.98>;0.00017483281612;12.4817363754
<ARP, 10.2.201.11>;0.000874164080598;10.1598082805
<ARP, 10.2.202.52>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.243>;8.74164080598e-05;13.4817363754
<ARP, 10.2.201.100>;0.000393373836269;11.311811374
<ARP, 10.2.0.182>;0.00939726386643;6.73354352585
<ARP, 10.2.6.250>;0.00118012150881;9.72684887327
<ARP, 10.2.203.23>;0.000830455876568;10.233808862
<ARP, 10.2.201.135>;0.000743039468508;10.3942735342
<ARP, 10.2.6.18>;0.00187945277329;9.05547162073
<ARP, 10.2.203.109>;4.37082040299e-05;14.4817363754
<ARP, 10.2.7.4>;0.00179203636523;9.12418437082
<ARP, 10.2.0.201>;8.74164080598e-05;13.4817363754
<ARP, 10.2.200.229>;4.37082040299e-05;14.4817363754
<ARP, 10.2.1.17>;0.00201057738538;8.95817441938
<ARP, 10.2.6.24>;0.00218541020149;8.83788018566
<ARP, 10.2.201.99>;0.000262249224179;11.8967738747
<ARP, 10.2.201.150>;0.000437082040299;11.1598082805
<ARP, 10.2.202.122>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.73>;8.74164080598e-05;13.4817363754
<ARP, 10.2.7.25>;0.00126753791687;9.62375538031
<ARP, 10.2.0.8>;0.00454565321911;7.78129665729
<ARP, 10.2.202.95>;0.000262249224179;11.8967738747
<ARP, 10.2.201.18>;0.000305957428209;11.6743814534
<ARP, 10.2.200.251>;4.37082040299e-05;14.4817363754
<ARP, 10.2.1.1>;0.00183574456926;9.08941895266
<ARP, 10.2.202.5>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.105>;0.00113641330478;9.78129665729
<ARP, 10.2.200.57>;0.000480790244329;11.0223047568
<ARP, 10.2.202.43>;8.74164080598e-05;13.4817363754
<ARP, 10.2.2.254>;0.000611914856419;10.6743814534
<ARP, 10.2.4.17>;0.00183574456926;9.08941895266
<ARP, 10.2.201.188>;0.000262249224179;11.8967738747
<ARP, 10.2.203.138>;0.000393373836269;11.311811374
<ARP, 10.2.7.3>;0.000655623060448;10.5748457798
<ARP, 10.2.5.15>;0.00218541020149;8.83788018566
<ARP, 10.2.0.195>;0.023340180952;5.42104044375
<ARP, 10.2.201.143>;4.37082040299e-05;14.4817363754
<ARP, 169.254.74.4>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.67>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.135>;0.00126753791687;9.62375538031
<ARP, 10.2.2.3>;0.00166091175314;9.23380886199
<ARP, 10.2.201.230>;0.000393373836269;11.311811374
<ARP, 10.2.5.22>;0.00358407273045;8.12418437082
<ARP, 10.2.200.246>;0.000830455876568;10.233808862
<ARP, 10.2.202.149>;0.000437082040299;11.1598082805
<ARP, 10.2.202.163>;0.000349665632239;11.4817363754
<ARP, 10.2.4.10>;0.00183574456926;9.08941895266
<ARP, 10.2.5.18>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.178>;0.00013112461209;12.8967738747
<ARP, 10.2.0.249>;0.00371519734254;8.0723454393
<ARP, 10.2.203.174>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.153>;4.37082040299e-05;14.4817363754
<ARP, 10.2.7.16>;0.00100528869269;9.95817441938
<ARP, 169.254.184.50>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.212>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.123>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.63>;0.000305957428209;11.6743814534
<ARP, 10.2.2.14>;0.00139866252896;9.48173637543
<ARP, 10.2.2.8>;0.00109270510075;9.83788018566
<ARP, 10.2.6.3>;0.00209799379344;8.89677387471
<ARP, 10.2.3.254>;0.000349665632239;11.4817363754
<ARP, 10.2.3.10>;0.00187945277329;9.05547162073
<ARP, 10.2.0.17>;0.000393373836269;11.311811374
<ARP, 10.2.3.1>;0.00170461995717;9.19633415657
<ARP, 10.2.202.165>;0.00144237073299;9.43734225608
<ARP, 169.254.254.231>;0.000524498448359;10.8967738747
<ARP, 10.2.201.105>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.171>;0.000480790244329;11.0223047568
<ARP, 10.2.7.11>;0.00201057738538;8.95817441938
<ARP, 10.2.6.15>;0.00196686918135;8.9898832791
<ARP, 10.2.200.219>;0.00257878403776;8.59909332607
<ARP, 10.2.200.35>;0.000655623060448;10.5748457798
<ARP, 10.2.200.196>;0.00144237073299;9.43734225608
<ARP, 10.2.1.12>;0.00179203636523;9.12418437082
<ARP, 10.2.201.157>;0.000262249224179;11.8967738747
<ARP, 10.2.4.7>;0.0017483281612;9.15980828055
<ARP, 10.2.6.8>;0.00205428558941;8.92714752376
<ARP, 10.2.202.88>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.78>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.70>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.50>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.25>;8.74164080598e-05;13.4817363754
<ARP, 10.2.5.6>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.194>;0.00104899689672;9.89677387471
<ARP, 10.2.201.113>;0.000218541020149;12.1598082805
<ARP, 10.2.201.13>;0.00100528869269;9.95817441938
<ARP, 10.2.200.254>;0.000611914856419;10.6743814534
<ARP, 10.2.202.24>;0.000218541020149;12.1598082805
<ARP, 10.2.201.102>;0.00017483281612;12.4817363754
<ARP, 10.2.200.100>;8.74164080598e-05;13.4817363754
<ARP, 10.2.200.124>;0.00152978714105;9.35245335849
<ARP, 10.2.201.49>;0.000218541020149;12.1598082805
<ARP, 10.2.0.186>;0.00922243105031;6.76063718673
<ARP, 10.2.7.6>;0.000874164080598;10.1598082805
<ARP, 10.2.7.22>;0.00144237073299;9.43734225608
<ARP, 10.2.1.19>;0.00209799379344;8.89677387471
<ARP, 10.2.7.250>;0.00384632195463;8.0223047568
<ARP, 10.2.203.31>;0.000437082040299;11.1598082805
<ARP, 10.2.203.126>;4.37082040299e-05;14.4817363754
<ARP, 169.254.41.151>;4.37082040299e-05;14.4817363754
<ARP, 10.2.5.1>;0.000305957428209;11.6743814534
<ARP, 10.2.2.4>;0.00122382971284;9.67438145338
<ARP, 10.2.202.97>;0.000262249224179;11.8967738747
<ARP, 10.2.201.211>;4.37082040299e-05;14.4817363754
<ARP, 10.2.7.21>;0.00100528869269;9.95817441938
<ARP, 10.2.1.7>;0.00196686918135;8.9898832791
<ARP, 10.2.202.23>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.7>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.41>;0.00017483281612;12.4817363754
<ARP, 10.2.201.66>;0.000699331264478;10.4817363754
<ARP, 10.2.200.166>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.100>;0.00109270510075;9.83788018566
<ARP, 192.168.1.1>;8.74164080598e-05;13.4817363754
