ip_address,rtt,type,hop_num
129.250.2.54,13.246,11,13
129.250.2.54,13.875,11,13
129.250.2.54,13.981,11,13
129.250.2.54,16.913,11,13
129.250.2.54,13.33,11,13
129.250.2.54,13.637,11,13
129.250.2.54,13.847,11,13
129.250.2.54,13.002,11,13
129.250.2.54,13.24,11,13
129.250.2.54,13.119,11,13
129.250.3.61,14.014,11,14
129.250.3.61,13.141,11,14
129.250.3.61,13.723,11,14
129.250.3.61,13.692,11,14
129.250.3.61,13.94,11,14
129.250.3.61,13.994,11,14
129.250.3.61,14.067,11,14
129.250.3.61,13.394,11,14
129.250.3.61,14.203,11,14
129.250.3.61,14.62,11,14
129.250.3.61,13.934,11,14
129.250.3.61,15.34,11,14
129.250.3.61,13.518,11,14
129.250.3.61,13.511,11,14
129.250.3.61,14.062,11,14
129.250.3.61,14.059,11,14
129.250.3.61,13.783,11,14
129.250.3.61,14.009,11,14
129.250.3.61,14.55,11,14
129.250.3.61,14.468,11,14
129.250.3.61,14.793,11,14
129.250.3.61,14.048,11,14
129.250.3.61,13.004,11,14
129.250.3.61,12.95,11,14
129.250.3.61,13.131,11,14
129.250.3.61,12.365,11,14
129.250.3.61,13.395,11,14
129.250.3.61,13.734,11,14
129.250.3.61,15.715,11,14
129.250.3.61,13.517,11,14
129.250.3.61,12.98,11,14
129.250.3.61,14.838,11,14
129.250.3.61,13.544,11,14
129.250.3.61,13.851,11,14
129.250.3.61,30.685,11,14
129.250.3.61,13.2,11,14
129.250.3.61,13.354,11,14
129.250.3.61,13.931,11,14
129.250.3.61,15.139,11,14
129.250.3.61,12.823,11,14
129.250.3.61,14.68,11,14
129.250.3.61,13.298,11,14
129.250.3.61,22.272,11,14
129.250.3.61,22.479,11,14
129.250.3.61,21.366,11,14
129.250.3.61,19.158,11,14
129.250.3.61,14.736,11,14
129.250.3.61,13.419,11,14
129.250.3.61,13.632,11,14
129.250.3.61,13.924,11,14
129.250.3.61,13.255,11,14
129.250.3.61,13.414,11,14
129.250.3.61,11.635,11,14
129.250.3.61,13.948,11,14
129.250.3.61,13.946,11,14
129.250.3.61,14.612,11,14
129.250.3.61,14.82,11,14
129.250.3.61,14.162,11,14
129.250.3.61,13.968,11,14
129.250.3.61,13.355,11,14
129.250.3.61,12.535,11,14
129.250.3.61,42.955,11,14
129.250.3.61,23.144,11,14
129.250.3.61,13.727,11,14
129.250.3.61,13.908,11,14
129.250.3.61,13.989,11,14
129.250.3.61,13.921,11,14
129.250.3.61,13.051,11,14
129.250.3.61,13.129,11,14
129.250.3.61,13.113,11,14
129.250.3.61,16.633,11,14
129.250.3.61,13.615,11,14
129.250.3.61,13.786,11,14
129.250.3.61,13.123,11,14
129.250.3.61,14.336,11,14
129.250.3.61,13.262,11,14
129.250.3.61,13.428,11,14
129.250.3.61,14.268,11,14
129.250.3.61,15.162,11,14
129.250.3.61,13.024,11,14
129.250.3.61,13.185,11,14
129.250.3.61,13.286,11,14
129.250.3.61,13.358,11,14
129.250.3.61,14.22,11,14
129.250.3.61,14.462,11,14
129.250.3.61,14.098,11,14
129.250.3.61,13.183,11,14
129.250.3.61,14.194,11,14
129.250.3.61,13.75,11,14
129.250.3.61,14.033,11,14
129.250.3.61,13.458,11,14
129.250.3.61,13.802,11,14
129.250.3.61,13.968,11,14
129.250.3.61,14.241,11,14
129.250.3.61,14.668,11,14
129.250.3.61,22.082,11,14
129.250.3.61,21.361,11,14
129.250.3.61,22.24,11,14
129.250.3.61,21.793,11,14
129.250.3.61,15.339,11,14
129.250.5.39,14.792,11,15
129.250.5.39,13.913,11,15
129.250.5.39,13.484,11,15
129.250.5.39,13.821,11,15
129.250.5.39,13.806,11,15
129.250.5.39,13.447,11,15
129.250.5.39,13.979,11,15
129.250.5.39,13.252,11,15
129.250.5.39,15.283,11,15
129.250.5.39,14.986,11,15
