ip_address,rtt,salto_intercontinental,type,hop_num
108.170.229.47,11.048,false,11,10
172.217.28.163,10.988,false,0,11
172.217.28.163,13.818,false,0,11
172.217.28.163,10.65,false,0,11
172.217.28.163,10.2,false,0,11
172.217.28.163,14.007,false,0,11
172.217.28.163,8.694,false,0,11
172.217.28.163,11.849,false,0,11
172.217.28.163,9.123,false,0,11
172.217.28.163,11.009,false,0,11
172.217.28.163,10.876,false,0,11
172.217.28.163,8.927,false,0,11
172.217.28.163,10.546,false,0,11
172.217.28.163,10.24,false,0,11
172.217.28.163,10.909,false,0,11
172.217.28.163,9.587,false,0,11
172.217.28.163,10.379,false,0,11
172.217.28.163,10.553,false,0,11
172.217.28.163,11.419,false,0,11
172.217.28.163,9.769,false,0,11
172.217.28.163,13.098,false,0,11
172.217.28.163,10.103,false,0,11
172.217.28.163,10.162,false,0,11
172.217.28.163,10.443,false,0,11
172.217.28.163,11.416,false,0,11
172.217.28.163,10.653,false,0,11
172.217.28.163,10.411,false,0,11
172.217.28.163,10.412,false,0,11
172.217.28.163,9.263,false,0,11
172.217.28.163,10.372,false,0,11
172.217.28.163,10.708,false,0,11
