ip_address,rtt,type,hop_num
172.16.128.1,10.589,11,3
172.16.128.1,10.063,11,3
172.16.128.1,12.07,11,3
172.16.128.1,11.866,11,3
172.16.128.1,11.612,11,3
172.16.128.1,12.312,11,3
172.16.128.1,12.205,11,3
172.16.128.1,11.802,11,3
172.16.128.1,10.352,11,3
172.16.128.1,11.794,11,3
172.16.128.1,10.88,11,3
172.16.128.1,11.416,11,3
172.16.128.1,10.41,11,3
172.16.128.1,11.838,11,3
172.16.128.1,11.583,11,3
172.16.128.1,13.368,11,3
172.16.128.1,12.053,11,3
172.16.128.1,13.068,11,3
10.0.13.1,9.615,11,4
10.0.13.1,13.353,11,4
10.0.13.1,10.94,11,4
10.0.13.1,11.232,11,4
10.0.13.1,11.491,11,4
10.0.13.1,10.52,11,4
10.0.13.1,8.763,11,4
10.0.13.1,11.507,11,4
10.0.13.1,10.019,11,4
10.0.13.1,10.254,11,4
10.0.13.1,10.842,11,4
10.0.13.1,11.447,11,4
10.0.13.1,10.136,11,4
10.0.13.1,10.928,11,4
10.0.13.1,9.015,11,4
10.0.13.1,11.319,11,4
10.0.13.1,11.796,11,4
10.0.13.1,10.217,11,4
10.0.13.1,11.67,11,4
10.0.13.1,9.718,11,4
10.0.13.1,10.235,11,4
10.0.13.1,10.099,11,4
10.0.13.1,11.707,11,4
10.0.13.1,10.808,11,4
10.0.13.1,11.379,11,4
10.0.13.1,10.505,11,4
10.0.13.1,10.427,11,4
10.0.13.1,13.622,11,4
10.0.13.1,13.969,11,4
10.0.13.1,9.844,11,4
10.0.13.1,11.177,11,4
10.0.13.1,14.731,11,4
10.0.13.1,14.948,11,4
10.0.13.1,9.973,11,4
10.0.13.1,10.643,11,4
10.0.13.1,11.426,11,4
10.0.13.1,9.017,11,4
10.0.13.1,9.127,11,4
10.0.13.1,8.162,11,4
10.0.13.1,9.619,11,4
10.0.13.1,12.177,11,4
10.0.13.1,9.507,11,4
10.0.13.1,12.499,11,4
10.0.13.1,11.338,11,4
10.0.13.1,10.774,11,4
10.0.13.1,11.615,11,4
10.0.13.1,13.464,11,4
10.0.13.1,15.425,11,4
10.0.13.1,12.815,11,4
10.0.13.1,14.803,11,4
10.0.13.1,12.003,11,4
10.0.13.1,13.491,11,4
10.0.13.1,13.524,11,4
10.0.13.1,12.802,11,4
10.0.13.1,10.61,11,4
10.0.13.1,13.346,11,4
10.0.13.1,11.91,11,4
10.0.13.1,11.326,11,4
10.0.13.1,10.995,11,4
10.0.13.1,10.94,11,4
10.0.13.1,10.84,11,4
10.0.13.1,9.047,11,4
10.0.13.1,11.122,11,4
10.0.13.1,10.445,11,4
10.0.13.1,12.129,11,4
10.0.13.1,18.216,11,4
10.0.13.1,14.854,11,4
10.0.13.1,20.963,11,4
10.0.13.1,17.346,11,4
10.0.13.1,10.431,11,4
10.0.13.1,12.602,11,4
10.0.13.1,11.518,11,4
10.0.13.1,10.251,11,4
10.0.13.1,10.002,11,4
10.0.13.1,10.807,11,4
10.0.13.1,9.984,11,4
10.0.13.1,9.708,11,4
10.0.13.1,11.168,11,4
10.0.13.1,9.415,11,4
10.0.13.1,10.825,11,4
10.0.13.1,10.346,11,4
10.0.13.1,12.972,11,4
10.0.13.1,13.363,11,4
10.0.13.1,12.941,11,4
10.0.13.1,11.37,11,4
10.0.13.1,12.349,11,4
10.0.13.1,12.175,11,4
10.0.13.1,9.688,11,4
10.0.13.1,11.287,11,4
10.0.13.1,11.413,11,4
10.0.13.1,11.187,11,4
10.0.13.1,11.065,11,4
10.0.13.1,12.207,11,4
10.0.13.1,10.96,11,4
10.0.13.1,11.43,11,4
10.0.13.1,10.192,11,4
10.0.13.1,10.512,11,4
10.0.13.1,12.129,11,4
10.0.13.1,12.328,11,4
10.0.13.1,9.74,11,4
186.0.137.1,10.1,11,5
186.0.137.1,10.592,11,5
186.0.137.1,10.034,11,5
186.0.137.1,12.1,11,5
186.0.137.1,10.947,11,5
186.0.137.1,11.115,11,5
186.0.137.1,11.308,11,5
186.0.137.1,12.132,11,5
186.0.137.1,13.349,11,5
186.0.137.1,11.084,11,5
186.0.137.1,13.044,11,5
186.0.137.1,9.949,11,5
186.0.137.1,10.308,11,5
186.0.137.1,10.708,11,5
186.0.137.1,13.011,11,5
186.0.137.1,10.345,11,5
186.0.137.1,8.726,11,5
186.0.137.1,11.149,11,5
186.0.137.1,9.34,11,5
186.0.137.1,11.621,11,5
186.0.137.1,9.55,11,5
186.0.137.1,10.76,11,5
186.0.137.1,11.834,11,5
186.0.137.1,9.056,11,5
186.0.137.1,12.104,11,5
186.0.137.1,9.944,11,5
186.0.137.1,10.771,11,5
186.0.137.1,11.361,11,5
186.0.137.1,12.004,11,5
186.0.137.1,10.366,11,5
186.0.137.1,10.299,11,5
186.0.137.1,10.53,11,5
186.0.137.1,6.752,11,5
186.0.137.1,10.029,11,5
186.0.137.1,10.976,11,5
186.0.137.1,11.446,11,5
186.0.137.1,10.939,11,5
186.0.137.1,10.998,11,5
186.0.137.1,8.467,11,5
186.0.137.1,12.32,11,5
186.0.137.1,12.318,11,5
186.0.137.1,10.157,11,5
186.0.137.1,11.051,11,5
186.0.137.1,11.231,11,5
186.0.137.1,12.722,11,5
186.0.137.1,11.634,11,5
186.0.137.1,10.582,11,5
186.0.137.1,8.586,11,5
186.0.137.1,10.986,11,5
186.0.137.1,13.49,11,5
186.0.137.1,10.295,11,5
186.0.137.1,11.611,11,5
186.0.137.1,10.497,11,5
186.0.137.1,10.952,11,5
186.0.137.1,8.958,11,5
186.0.137.1,12.499,11,5
186.0.137.1,13.132,11,5
186.0.137.1,11.908,11,5
186.0.137.1,13.5,11,5
186.0.137.1,13.072,11,5
186.0.137.1,13.185,11,5
186.0.137.1,10.872,11,5
186.0.137.1,11.014,11,5
186.0.137.1,10.817,11,5
186.0.137.1,10.548,11,5
186.0.137.1,10.635,11,5
186.0.137.1,11.271,11,5
186.0.137.1,10.054,11,5
186.0.137.1,11.282,11,5
186.0.137.1,9.189,11,5
186.0.137.1,13.858,11,5
186.0.137.1,9.261,11,5
186.0.137.1,10.321,11,5
186.0.137.1,12.71,11,5
186.0.137.1,10.152,11,5
186.0.137.1,12.068,11,5
186.0.137.1,10.881,11,5
186.0.137.1,11.001,11,5
186.0.137.1,12.819,11,5
186.0.137.1,10.356,11,5
186.0.137.1,12.434,11,5
186.0.137.1,9.986,11,5
186.0.137.1,11.214,11,5
186.0.137.1,13.141,11,5
186.0.137.1,13.407,11,5
186.0.137.1,12.38,11,5
186.0.137.1,10.603,11,5
186.0.137.1,11.523,11,5
186.0.137.1,13.376,11,5
186.0.137.1,12.937,11,5
186.0.137.1,11.402,11,5
186.0.137.1,15.762,11,5
186.0.137.1,9.341,11,5
186.0.137.1,11.95,11,5
186.0.137.1,11.512,11,5
186.0.137.1,11.912,11,5
186.0.137.1,10.574,11,5
186.0.137.1,12.145,11,5
186.0.137.1,11.485,11,5
186.0.137.1,13.865,11,5
190.181.113.73,12.676,11,6
190.181.113.73,10.949,11,6
190.181.113.73,10.513,11,6
190.181.113.73,11.933,11,6
190.181.113.73,13.221,11,6
190.181.113.73,9.867,11,6
190.181.113.73,12.617,11,6
190.181.113.73,9.905,11,6
190.181.113.73,12.278,11,6
190.181.113.73,11.416,11,6
190.181.113.73,10.643,11,6
190.181.113.73,11.116,11,6
190.181.113.73,11.621,11,6
190.181.113.73,10.505,11,6
190.181.113.73,10.781,11,6
190.181.113.73,11.455,11,6
190.181.113.73,12.312,11,6
190.181.113.73,13.809,11,6
190.181.113.73,14.782,11,6
190.181.113.73,13.007,11,6
190.181.113.73,13.037,11,6
190.181.113.73,12.881,11,6
190.181.113.73,11.85,11,6
190.181.113.73,11.256,11,6
190.181.113.73,13.785,11,6
190.181.113.73,11.42,11,6
190.181.113.73,11.555,11,6
190.181.113.73,12.465,11,6
190.181.113.73,11.884,11,6
190.181.113.73,10.741,11,6
190.181.113.73,9.469,11,6
190.181.113.73,9.198,11,6
190.181.113.73,12.404,11,6
190.181.113.73,10.562,11,6
190.181.113.73,10.86,11,6
190.181.113.73,13.273,11,6
190.181.113.73,11.903,11,6
190.181.113.73,12.459,11,6
190.181.113.73,13.637,11,6
190.181.113.73,11.772,11,6
190.181.113.73,12.749,11,6
190.181.113.73,13.177,11,6
190.181.113.73,12.121,11,6
190.181.113.73,9.302,11,6
190.181.113.73,12.179,11,6
190.181.113.73,12.248,11,6
190.181.113.73,12.921,11,6
190.181.113.73,12.18,11,6
190.181.113.73,12.117,11,6
190.181.113.73,11.949,11,6
190.181.113.73,10.56,11,6
190.181.113.73,12.069,11,6
190.181.113.73,12.921,11,6
190.181.113.73,11.158,11,6
190.181.113.73,10.382,11,6
190.181.113.73,10.292,11,6
190.181.113.73,10.74,11,6
190.181.113.73,9.953,11,6
190.181.113.73,10.356,11,6
190.181.113.73,10.767,11,6
190.181.113.73,10.57,11,6
190.181.113.73,12.387,11,6
190.181.113.73,11.034,11,6
190.181.113.73,12.214,11,6
190.181.113.73,12.103,11,6
190.181.113.73,12.889,11,6
190.181.113.73,12.659,11,6
190.181.113.73,11.804,11,6
190.181.113.73,11.691,11,6
190.181.113.73,13.184,11,6
190.181.113.73,11.168,11,6
190.181.113.73,11.698,11,6
190.181.113.73,12.506,11,6
190.181.113.73,10.647,11,6
190.181.113.73,11.357,11,6
190.181.113.73,9.909,11,6
190.181.113.73,11.231,11,6
190.181.113.73,8.518,11,6
190.181.113.73,11.402,11,6
190.181.113.73,9.221,11,6
190.181.113.73,9.162,11,6
190.181.113.73,13.866,11,6
190.181.113.73,11.52,11,6
190.181.113.73,9.626,11,6
190.181.113.73,9.101,11,6
190.181.113.73,11.785,11,6
190.181.113.73,12.872,11,6
190.181.113.73,10.281,11,6
190.181.113.73,10.489,11,6
190.181.113.73,12.028,11,6
190.181.113.73,10.179,11,6
190.181.113.73,9.746,11,6
190.181.113.73,10.821,11,6
190.181.113.73,11.322,11,6
190.181.113.73,10.014,11,6
190.181.113.73,11.032,11,6
190.181.113.73,12.581,11,6
190.181.113.73,12.755,11,6
190.181.113.73,13.209,11,6
190.181.113.73,12.044,11,6
190.12.119.105,10.319,11,7
190.12.119.105,10.971,11,7
190.12.119.105,12.742,11,7
190.12.119.105,10.132,11,7
190.12.119.105,11.53,11,7
190.12.119.105,10.505,11,7
190.12.119.105,9.601,11,7
190.12.119.105,10.685,11,7
190.12.119.105,10.906,11,7
190.12.119.105,11.736,11,7
190.12.119.105,9.574,11,7
190.12.119.105,10.026,11,7
190.12.119.105,10.803,11,7
190.12.119.105,10.78,11,7
190.12.119.105,11.49,11,7
190.12.119.105,10.982,11,7
190.12.119.105,12.267,11,7
190.12.119.105,11.367,11,7
190.12.119.105,10.625,11,7
190.12.119.105,11.252,11,7
190.12.119.105,10.494,11,7
190.12.119.105,11.088,11,7
190.12.119.105,10.286,11,7
190.12.119.105,14.511,11,7
190.12.119.105,12.633,11,7
190.12.119.105,12.747,11,7
190.12.119.105,10.606,11,7
190.12.119.105,10.277,11,7
190.12.119.105,10.631,11,7
190.12.119.105,11.295,11,7
190.12.119.105,11.236,11,7
190.12.119.105,18.349,11,7
190.12.119.105,11.681,11,7
190.12.119.105,11.324,11,7
190.12.119.105,10.581,11,7
190.12.119.105,9.953,11,7
190.12.119.105,10.168,11,7
190.12.119.105,12.708,11,7
190.12.119.105,11.669,11,7
190.12.119.105,11.159,11,7
190.12.119.105,11.164,11,7
190.12.119.105,10.037,11,7
190.12.119.105,11.428,11,7
190.12.119.105,12.058,11,7
190.12.119.105,9.303,11,7
190.12.119.105,8.96,11,7
190.12.119.105,11.297,11,7
190.12.119.105,8.889,11,7
190.12.119.105,14.882,11,7
190.12.119.105,10.072,11,7
190.12.119.105,10.015,11,7
190.12.119.105,9.991,11,7
190.12.119.105,13.056,11,7
190.12.119.105,10.962,11,7
190.12.119.105,11.079,11,7
190.12.119.105,13.146,11,7
190.12.119.105,14.872,11,7
190.12.119.105,11.816,11,7
190.12.119.105,10.642,11,7
190.12.119.105,13.462,11,7
190.12.119.105,10.65,11,7
190.12.119.105,11.001,11,7
190.12.119.105,9.865,11,7
190.12.119.105,10.724,11,7
190.12.119.105,11.358,11,7
190.12.119.105,9.073,11,7
190.12.119.105,10.497,11,7
190.12.119.105,11.903,11,7
190.12.119.105,9.883,11,7
190.12.119.105,10.484,11,7
190.12.119.105,12.607,11,7
190.12.119.105,12.683,11,7
190.12.119.105,9.196,11,7
190.12.119.105,11.056,11,7
190.12.119.105,19.826,11,7
190.12.119.105,11.257,11,7
190.12.119.105,10.897,11,7
190.12.119.105,13.142,11,7
190.12.119.105,10.769,11,7
190.12.119.105,11.517,11,7
190.12.119.105,9.721,11,7
190.12.119.105,11.087,11,7
190.12.119.105,11.663,11,7
190.12.119.105,15.471,11,7
190.12.119.105,12.189,11,7
190.12.119.105,11.266,11,7
190.12.119.105,10.588,11,7
190.12.119.105,11.393,11,7
190.12.119.105,13.646,11,7
190.12.119.105,14.145,11,7
190.12.119.105,10.944,11,7
190.12.119.105,11.161,11,7
190.12.119.105,14.438,11,7
190.12.119.105,10.925,11,7
190.12.119.105,10.414,11,7
190.12.119.105,10.843,11,7
190.12.119.105,10.519,11,7
190.12.119.105,10.518,11,7
190.12.119.105,11.562,11,7
190.12.119.105,10.353,11,7
195.22.220.237,13.066,11,8
195.22.220.237,12.679,11,8
195.22.220.237,11.614,11,8
195.22.220.237,9.975,11,8
195.22.220.237,9.761,11,8
195.22.220.237,13.378,11,8
195.22.220.237,11.34,11,8
195.22.220.237,9.028,11,8
195.22.220.237,8.809,11,8
195.22.220.237,12.167,11,8
195.22.220.237,13.383,11,8
195.22.220.237,12.902,11,8
195.22.220.237,10.548,11,8
195.22.220.237,10.92,11,8
195.22.220.237,14.456,11,8
195.22.220.237,11.813,11,8
195.22.220.237,12.274,11,8
195.22.220.237,8.606,11,8
195.22.220.237,10.171,11,8
195.22.220.237,9.842,11,8
195.22.220.237,8.448,11,8
195.22.220.237,7.668,11,8
195.22.220.237,10.087,11,8
195.22.220.237,11.979,11,8
195.22.220.237,9.433,11,8
195.22.220.237,10.941,11,8
195.22.220.237,8.947,11,8
195.22.220.237,14.031,11,8
195.22.220.237,13.031,11,8
195.22.220.237,11.742,11,8
195.22.220.237,10.764,11,8
195.22.220.237,10.293,11,8
195.22.220.237,11.846,11,8
195.22.220.237,13.282,11,8
195.22.220.237,11.718,11,8
195.22.220.237,10.741,11,8
195.22.220.237,11.863,11,8
195.22.220.237,9.868,11,8
195.22.220.237,9.503,11,8
195.22.220.237,10.171,11,8
195.22.220.237,11.005,11,8
195.22.220.237,14.126,11,8
195.22.220.237,12.846,11,8
195.22.220.237,9.577,11,8
195.22.220.237,11.428,11,8
195.22.220.237,13.463,11,8
195.22.220.237,11.566,11,8
195.22.220.237,10.728,11,8
195.22.220.237,11.289,11,8
195.22.220.237,11.592,11,8
195.22.220.237,15.386,11,8
195.22.220.237,9.799,11,8
195.22.220.237,11.022,11,8
195.22.220.237,12.806,11,8
195.22.220.237,14.351,11,8
195.22.220.237,11.234,11,8
195.22.220.237,11.161,11,8
195.22.220.237,9.018,11,8
195.22.220.237,8.665,11,8
195.22.220.237,10.912,11,8
195.22.220.237,7.366,11,8
195.22.220.237,10.611,11,8
195.22.220.237,11.382,11,8
195.22.220.237,11.429,11,8
195.22.220.237,11.139,11,8
195.22.220.237,13.187,11,8
195.22.220.237,11.019,11,8
195.22.220.237,10.744,11,8
195.22.220.237,10.422,11,8
195.22.220.237,7.563,11,8
195.22.220.237,10.458,11,8
195.22.220.237,12.141,11,8
195.22.220.237,10.333,11,8
195.22.220.237,12.468,11,8
195.22.220.237,12.735,11,8
195.22.220.237,12.0,11,8
195.22.220.237,10.498,11,8
195.22.220.237,11.776,11,8
195.22.220.237,10.354,11,8
195.22.220.237,10.944,11,8
195.22.220.237,11.136,11,8
195.22.220.237,12.253,11,8
195.22.220.237,10.828,11,8
195.22.220.237,10.81,11,8
195.22.220.237,10.371,11,8
195.22.220.237,12.325,11,8
195.22.220.237,13.211,11,8
195.22.220.237,10.122,11,8
195.22.220.237,11.49,11,8
195.22.220.237,10.19,11,8
195.22.220.237,10.607,11,8
195.22.220.237,10.882,11,8
195.22.220.237,11.554,11,8
195.22.220.237,10.925,11,8
195.22.220.237,8.769,11,8
195.22.220.237,10.304,11,8
195.22.220.237,11.456,11,8
195.22.220.237,10.241,11,8
195.22.220.237,11.374,11,8
195.22.220.237,10.359,11,8
89.221.41.175,12.494,11,9
195.22.199.179,12.547,11,9
89.221.41.175,11.52,11,9
195.22.199.179,11.478,11,9
89.221.41.175,15.564,11,9
195.22.199.179,12.059,11,9
89.221.41.175,13.591,11,9
195.22.199.179,10.983,11,9
89.221.41.175,10.675,11,9
195.22.199.179,14.905,11,9
89.221.41.175,15.353,11,9
195.22.199.179,12.859,11,9
89.221.41.175,13.694,11,9
195.22.199.179,15.509,11,9
89.221.41.175,13.508,11,9
195.22.199.179,13.676,11,9
89.221.41.175,13.412,11,9
195.22.199.179,12.418,11,9
89.221.41.175,12.907,11,9
195.22.199.179,13.863,11,9
89.221.41.175,11.9,11,9
195.22.199.179,13.72,11,9
89.221.41.175,20.266,11,9
195.22.199.179,15.414,11,9
89.221.41.175,15.393,11,9
195.22.199.179,18.997,11,9
89.221.41.175,19.814,11,9
195.22.199.179,19.138,11,9
89.221.41.175,19.846,11,9
195.22.199.179,13.075,11,9
89.221.41.175,12.182,11,9
195.22.199.179,14.462,11,9
89.221.41.175,12.225,11,9
195.22.199.179,12.934,11,9
89.221.41.175,13.938,11,9
195.22.199.179,11.389,11,9
89.221.41.175,12.822,11,9
195.22.199.179,13.506,11,9
89.221.41.175,13.058,11,9
195.22.199.179,13.732,11,9
89.221.41.175,12.987,11,9
195.22.199.179,13.614,11,9
89.221.41.175,13.978,11,9
195.22.199.179,14.108,11,9
89.221.41.175,12.798,11,9
195.22.199.179,12.037,11,9
89.221.41.175,14.273,11,9
195.22.199.179,12.286,11,9
89.221.41.175,13.902,11,9
195.22.199.179,11.195,11,9
89.221.41.175,13.098,11,9
195.22.199.179,17.874,11,9
89.221.41.175,16.225,11,9
195.22.199.179,13.289,11,9
89.221.41.175,12.448,11,9
195.22.199.179,14.383,11,9
89.221.41.175,11.913,11,9
195.22.199.179,12.898,11,9
89.221.41.175,12.151,11,9
195.22.199.179,12.874,11,9
89.221.41.175,12.381,11,9
195.22.199.179,13.516,11,9
89.221.41.175,11.462,11,9
195.22.199.179,12.693,11,9
89.221.41.175,17.753,11,9
195.22.199.179,16.64,11,9
89.221.41.175,13.1,11,9
195.22.199.179,13.212,11,9
89.221.41.175,12.765,11,9
195.22.199.179,16.225,11,9
89.221.41.175,13.103,11,9
195.22.199.179,12.637,11,9
89.221.41.175,12.176,11,9
195.22.199.179,14.225,11,9
89.221.41.175,12.125,11,9
195.22.199.179,16.317,11,9
89.221.41.175,12.566,11,9
195.22.199.179,13.317,11,9
89.221.41.175,12.66,11,9
195.22.199.179,12.622,11,9
89.221.41.175,12.768,11,9
195.22.199.179,15.105,11,9
89.221.41.175,19.394,11,9
195.22.199.179,13.745,11,9
89.221.41.175,17.514,11,9
195.22.199.179,12.46,11,9
89.221.41.175,12.005,11,9
195.22.199.179,11.869,11,9
