ip_address,rtt,salto_intercontinental,type,hop_num
192.168.0.1,6.218,false,11,1
192.168.0.1,9.981,false,11,1
192.168.0.1,8.935,false,11,1
192.168.0.1,11.848,false,11,1
192.168.0.1,11.588,false,11,1
192.168.0.1,11.445,false,11,1
null,null,null,null,1
192.168.0.1,12.239,false,11,1
null,null,null,null,1
192.168.0.1,12.335,false,11,1
null,null,null,null,1
192.168.0.1,12.668,false,11,1
null,null,null,null,1
192.168.0.1,12.73,false,11,1
null,null,null,null,1
192.168.0.1,12.557,false,11,1
192.168.0.1,11.467,false,11,1
null,null,null,null,1
192.168.0.1,11.874,false,11,1
null,null,null,null,1
